User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
358,iPhone 12,iOS,488,9.5,2840,92,1986,48,Female,5
650,Xiaomi Mi 11,Android,186,5.4,1627,58,790,31,Female,3
292,Google Pixel 5,Android,55,1.6,360,19,149,30,Male,1
421,iPhone 12,iOS,32,1.4,416,12,198,56,Male,1
178,Samsung Galaxy S21,Android,193,5.7,1471,51,972,31,Female,3
457,iPhone 12,iOS,74,1.6,587,15,275,27,Female,1
445,iPhone 12,iOS,555,8.8,2540,97,2402,22,Male,5
84,Xiaomi Mi 11,Android,39,1.8,368,11,105,19,Male,1
454,Google Pixel 5,Android,88,1.3,557,13,164,43,Male,1
355,OnePlus 9,0,53,1.4,0,0,0,54,Female,1
537,Samsung Galaxy S21,Android,289,5.9,1528,48,915,30,Male,3
577,Google Pixel 5,Android,554,10.3,2776,83,1606,34,Female,5
80,Google Pixel 5,Android,230,5.7,1254,52,989,34,Female,3
24,Google Pixel 5,Android,292,5.6,1401,46,949,37,Female,3
16,Google Pixel 5,Android,503,10.4,2571,84,2025,39,Female,5
382,iPhone 12,iOS,493,10.4,2453,99,1813,39,Male,5
293,Google Pixel 5,Android,59,1.8,497,10,208,36,Female,1
276,OnePlus 9,Android,501,11.9,2702,88,1738,49,Male,5
655,Google Pixel 5,Android,594,10.5,2839,91,1647,56,Male,5
315,iPhone 12,iOS,0,0,0,0,0,0,Male,0
611,iPhone 12,iOS,507,9.6,2606,95,1543,48,Male,5
138,Xiaomi Mi 11,Android,237,4.5,1368,42,868,24,Female,3
487,iPhone 12,iOS,131,3.8,739,34,330,57,Female,2
572,Google Pixel 5,Android,444,6.1,2229,73,1194,25,Female,4
34,Google Pixel 5,Android,46,2,457,14,105,58,Male,1
589,OnePlus 9,Android,424,7.5,1995,75,1228,36,Male,4
258,Xiaomi Mi 11,Android,272,5,1655,45,686,19,Female,3
10,iPhone 12,iOS,424,6.6,1957,75,1301,42,Male,4
23,Samsung Galaxy S21,Android,423,6.5,2094,65,1372,23,Female,4
545,Google Pixel 5,Android,544,9.7,2633,97,1727,28,Female,5
222,OnePlus 9,Android,133,2,1007,31,417,32,Male,2
405,iPhone 12,iOS,559,8.2,2618,84,2102,22,Female,5
686,Xiaomi Mi 11,Android,412,6.6,1859,67,1393,18,Male,4
335,Samsung Galaxy S21,Android,37,1.5,375,18,246,46,Female,1
85,Google Pixel 5,Android,223,4.5,1311,56,695,33,Female,3
336,OnePlus 9,Android,531,9.8,2905,99,1632,45,Female,5
248,Google Pixel 5,Android,314,6.2,2205,63,1066,19,Male,4
584,Google Pixel 5,Android,71,1.9,571,10,117,43,Female,1
622,Google Pixel 5,Android,64,1.8,351,15,274,56,Male,1
204,Google Pixel 5,Android,69,1.6,463,16,146,27,Male,1
197,OnePlus 9,Android,0,4.4,0,41,0,47,0,0
683,Xiaomi Mi 11,Android,190,5.5,1718,58,815,42,Male,3
328,OnePlus 9,Android,48,2,574,18,127,24,Female,1
400,OnePlus 9,Android,49,1.5,571,10,203,29,Male,1
94,iPhone 12,iOS,134,2.5,1125,24,367,35,Male,2
576,Samsung Galaxy S21,Android,94,3.5,606,30,446,49,Male,2
295,Samsung Galaxy S21,Android,580,8.5,2660,87,1795,52,Male,5
266,Xiaomi Mi 11,Android,563,8.4,2849,85,1508,25,Male,5
376,OnePlus 9,Android,44,1.1,531,17,232,26,Male,1
185,Xiaomi Mi 11,Android,597,10.4,2984,91,1564,34,Female,5
685,Google Pixel 5,Android,218,4,1221,47,822,25,Male,3
514,OnePlus 9,Android,110,3.4,975,31,507,57,Female,2
154,OnePlus 9,Android,329,7.5,2277,72,1185,27,Female,4
76,Xiaomi Mi 11,Android,229,5.7,1305,43,985,23,Female,3
333,OnePlus 9,Android,191,6,1762,45,904,54,Male,3
69,iPhone 12,iOS,516,10.2,2932,98,1547,31,Male,5
617,OnePlus 9,Android,288,5.4,1476,49,767,36,Female,3
189,iPhone 12,iOS,130,2,602,21,589,30,Female,2
237,Samsung Galaxy S21,Android,524,8.9,2549,88,1730,20,Female,5
89,Xiaomi Mi 11,Android,137,3.3,839,31,348,34,Female,2
592,Google Pixel 5,Android,580,11.5,2767,84,2341,36,Female,5
118,iPhone 12,iOS,220,5.2,1631,49,909,27,Female,3
126,Samsung Galaxy S21,Android,535,11.8,2858,99,2378,50,Male,5
573,OnePlus 9,Android,211,5.9,1757,42,864,56,Female,3
239,OnePlus 9,Android,0,0,0,0,107,53,Male,1
1,Google Pixel 5,Android,393,6.4,1872,67,1122,40,Male,4
693,Xiaomi Mi 11,Android,378,6.7,1898,78,1455,48,Female,4
532,OnePlus 9,Android,339,7.9,1987,66,1191,47,Male,4
478,iPhone 12,iOS,258,4.2,1315,44,762,59,Female,3
610,iPhone 12,iOS,551,8.5,2927,92,1901,51,Male,5
279,Xiaomi Mi 11,Android,85,1.6,417,12,122,47,Male,1
117,iPhone 12,iOS,75,1.2,409,13,281,18,Male,1
229,Samsung Galaxy S21,Android,132,3.8,649,25,368,41,Male,2
699,Samsung Galaxy S21,Android,62,1.7,431,13,224,44,Male,1
320,Google Pixel 5,Android,508,11.3,2590,81,2481,51,Male,5
275,iPhone 12,iOS,122,2.6,639,37,568,35,Male,2
494,OnePlus 9,Android,329,6.8,1892,69,1383,23,Male,4
145,iPhone 12,iOS,524,11.2,2417,90,2069,29,Female,5
383,OnePlus 9,Android,84,1.5,373,19,299,37,Female,1
427,OnePlus 9,Android,98,2.4,747,36,403,44,Female,2
633,iPhone 12,iOS,496,10.2,2587,84,1921,56,Female,5
502,Xiaomi Mi 11,Android,420,7.7,2017,74,1187,24,Female,4
269,Samsung Galaxy S21,Android,208,4.7,1642,45,861,55,Male,3
466,OnePlus 9,Android,265,4.8,1770,51,723,55,Female,3
47,OnePlus 9,Android,558,8.4,2447,97,1594,22,Female,5
262,iPhone 12,iOS,334,6.6,2394,68,1227,46,Female,4
196,Google Pixel 5,Android,202,4.7,1512,49,659,45,Female,3
700,OnePlus 9,Android,212,5.4,1306,49,828,23,Female,3
